protocol,α0 (Intercept),α1 (T),α2 (X),α3 (X_T),α4 (t),α5 (t_X),δ1 (MCt),δ2 (Fear_Greed_Index),δ3 (S&P 500),p_value (X),p_value (X_T),p_value (MCt),p_value (Fear_Greed_Index),p_value (S&P 500),ARIMA_AR,ARIMA_MA,airdrop_date
nftperp,-0.043805167988188204,0.6643199831588218,-0.001386970694556202,0.03246336740963654,-0.6936402244749069,-0.010532724124745263,0.9729098621828349,-0.0007450165197854519,0.9926730926934653,8.055481222627867e-08,1.6576489500895676e-07,0.17567952806240114,0.7528450731596359,0.5838133666236436,0.6970292173884367,0.071180184354759,2024-06-26
parcl,-0.11837366373687669,1.8348945241123495,0.00026624667831099454,-0.020262307556278975,-1.8346890517316283,-0.012008660529912764,0.20304568818067992,-0.0031326200438009048,8.226368134478562,0.19779074386971035,0.0001230895479746552,0.5342257952156647,0.10600185543960679,7.013498525807518e-09,0.4090315420300881,0.33613417755703356,2024-04-16
ekubo,-0.08817330677703275,1.3651591073598093,-0.0001317885587219965,0.0018355888283340394,-1.3682134027281263,-0.0022498564953589567,1.383749012967483,-0.0017475329025945924,2.43883970988135,0.1657672133956357,0.449863571757918,8.658644595045065e-08,0.14791716479920416,0.00018239806670416607,0.6769619224864117,-0.21104415546892308,2024-05-08
Arbitrum,0.003697571316281678,-0.05599896417459149,7.572931663888186e-05,-0.0019417240373416078,0.058625746630067255,0.0004058847792241249,0.20736048902751847,-0.0012421174276618374,1.6741435512657485,0.760641200822169,0.7780507722692375,0.7826095591514717,0.8227788729854186,0.4233068559096266,0.23081223769204284,0.4004089893395373,2023-03-23
Optimism,-0.005472071339980289,0.08194350396612293,8.226050470992426e-05,-8.931575529610297e-06,-0.08769070757325181,0.002541144070575471,0.6478763806570313,0.001619270325977501,0.5614390231804407,0.018135305111047776,0.992425511879474,1.9954650996612125e-14,0.052929878406276984,0.2155575564717109,0.4235871276856841,-0.006075421211050181,2024-02-20
etherfi,0.11091560781658982,-1.7108413005885268,0.00017765706637737182,-0.007838743574335616,1.7275425417256898,-0.0023313745148192677,-0.54193877380769,-0.0003063210050787621,-1.876288122069667,0.06197435610356037,0.0028816843069244995,0.0031520246002131854,0.877181510722042,0.014165309294608243,0.5769762071209463,0.18166599967427052,2024-03-18
Sei,0.016815206736859878,-0.2390255357197404,0.001838534059871333,-0.05409811840288814,0.2822458731229247,0.002896437454126863,1.3580285742819882,0.0017513837424375789,-3.3940618214288136,2.32924518354147e-16,1.1992986101951605e-17,2.327140572166984e-05,0.0824761317070753,0.0005749327379341306,0.6948427965550644,0.12161117069873395,2024-07-09
zkSync,0.01103445360087596,-0.1733014686109442,0.00018486741769330097,-0.002928957841434293,0.16876659301611596,0.0028019321113596065,0.9915917445705738,-8.755107765559544e-05,-1.7290638221076335,2.2021730028557392e-05,0.0031931371890325526,4.843629756658056e-07,0.8832228614502401,0.012093847715979942,0.5763935965737541,-0.13260708587777384,2024-06-17
hydro,-0.04588144731580979,0.7068944876220087,-0.00043091658852860426,0.011585744716343632,-0.7154303791679446,-0.001772669526701326,0.8305724401971011,0.0011902108363486263,1.9093460347525593,0.001992505513357479,0.0012706451367272729,0.0007625146697417419,0.6202728532254678,0.08103002314003267,0.41245843795313186,0.14997347727329388,2024-03-19
zircuit,0.01931171178183133,-0.29528944266157,0.00015948892271210047,-0.009442070188719176,0.3033736225751511,-0.004497913584773666,0.46687552257916565,0.002178874177900511,-0.1273206478601736,0.20282689661162503,0.006363970323048841,0.2372423232363693,0.0606725879443264,0.8338939308002526,0.7167624048384609,-0.11135313513874023,2024-08-05
drift,0.10151765819540914,-1.5645700094346253,-0.0006028966438793998,0.006594401083107049,1.5824773946229556,-0.012095394876006499,-2.426327233865128,0.015140595125840636,4.536553800269672,0.00028477965744625594,0.21517540987353592,1.3102324565194876e-06,1.5242346055302173e-16,0.002309985135163744,0.8184547117850363,0.17527557701383586,2024-05-01
cellana,0.3398437843654407,-5.1900186982254155,-0.007207195732283241,0.10478096901333925,5.345138617104496,-0.11864209869067233,-1.3794760153723153,-0.0043411806012721155,-12.71421298862002,1.603539567116541e-26,5.190218776821194e-17,0.03173740378312172,0.5138803136315078,0.0015203446348682936,0.7144656172189849,0.0025464662607820212,2024-02-29
Mode,-0.05192776264382115,0.8262268726905999,0.0010851995026559015,-0.03775536720806896,-0.783533769267855,-0.004114182625638049,0.8041786475741972,0.00356430525675909,2.492387637669296,1.040089114635619e-14,4.818777521526074e-20,0.0027409966018979576,0.01302908581007394,0.0004551475149852952,0.25056057128740944,0.22106731100065996,2024-05-07
